Country,Code,Year,Annual CO₂ emissions (per capita)
Afghanistan,AFG,2022,0.29536375
Africa,,2022,0.99422127
Albania,ALB,2022,1.7432004
Algeria,DZA,2022,3.9272263
Andorra,AND,2022,4.6171236
Angola,AGO,2022,0.45155162
Anguilla,AIA,2022,8.752724
Antigua and Barbuda,ATG,2022,6.4218745
Argentina,ARG,2022,4.2378173
Armenia,ARM,2022,2.3045583
Aruba,ABW,2022,8.133404
Asia,,2022,4.611434
Asia (excl. China and India),,2022,4.017375
Australia,AUS,2022,14.985412
Austria,AUT,2022,6.8781943
Azerbaijan,AZE,2022,3.6746833
Bahamas,BHS,2022,5.1708703
Bahrain,BHR,2022,25.672274
Bangladesh,BGD,2022,0.5964455
Barbados,BRB,2022,4.3772573
Belarus,BLR,2022,6.1669006
Belgium,BEL,2022,7.6875386
Belize,BLZ,2022,1.7894346
Benin,BEN,2022,0.631487
Bermuda,BMU,2022,6.9370627
Bhutan,BTN,2022,1.3489918
Bolivia,BOL,2022,1.7583066
Bonaire Sint Eustatius and Saba,BES,2022,4.083284
Bosnia and Herzegovina,BIH,2022,6.1034565
Botswana,BWA,2022,2.838951
Brazil,BRA,2022,2.2454574
British Virgin Islands,VGB,2022,5.0039577
Brunei,BRN,2022,23.950201
Bulgaria,BGR,2022,6.8044534
Burkina Faso,BFA,2022,0.26295447
Burundi,BDI,2022,0.06194545
Cambodia,KHM,2022,1.1900775
Cameroon,CMR,2022,0.34292704
Canada,CAN,2022,14.249212
Cape Verde,CPV,2022,0.9588915
Central African Republic,CAF,2022,0.040548485
Chad,TCD,2022,0.13367727
Chile,CHL,2022,4.3041654
China,CHN,2022,7.992761
Colombia,COL,2022,1.9223082
Comoros,COM,2022,0.49327007
Congo,COG,2022,1.2447897
Cook Islands,COK,2022,3.9950094
Costa Rica,CRI,2022,1.5226681
Cote d'Ivoire,CIV,2022,0.41668788
Croatia,HRV,2022,4.348515
Cuba,CUB,2022,1.8659163
Curacao,CUW,2022,9.189007
Cyprus,CYP,2022,5.616782
Czechia,CZE,2022,9.3357525
Democratic Republic of Congo,COD,2022,0.036375992
Denmark,DNK,2022,4.940161
Djibouti,DJI,2022,0.40418932
Dominica,DMA,2022,2.1058853
Dominican Republic,DOM,2022,2.1051137
East Timor,TLS,2022,0.49869007
Ecuador,ECU,2022,2.3117273
Egypt,EGY,2022,2.333106
El Salvador,SLV,2022,1.2174718
Equatorial Guinea,GNQ,2022,3.0307202
Eritrea,ERI,2022,0.18914719
Estonia,EST,2022,7.77628
Eswatini,SWZ,2022,1.0527312
Ethiopia,ETH,2022,0.15458965
Europe,,2022,6.8578663
Europe (excl. EU-27),,2022,7.886797
Europe (excl. EU-28),,2022,8.817789
European Union (27),,2022,6.1743994
European Union (28),,2022,5.983708
Faroe Islands,FRO,2022,14.084624
Fiji,FJI,2022,1.1550449
Finland,FIN,2022,6.5267396
France,FRA,2022,4.603891
French Polynesia,PYF,2022,2.8509297
Gabon,GAB,2022,2.3882635
Gambia,GMB,2022,0.2847278
Georgia,GEO,2022,2.962545
Germany,DEU,2022,7.9837584
Ghana,GHA,2022,0.6215505
Greece,GRC,2022,5.7451057
Greenland,GRL,2022,10.473997
Grenada,GRD,2022,2.7133646
Guatemala,GTM,2022,1.0756185
Guinea,GIN,2022,0.35742033
Guinea-Bissau,GNB,2022,0.15518051
Guyana,GUY,2022,4.3736935
Haiti,HTI,2022,0.21119381
High-income countries,,2022,10.136309
Honduras,HND,2022,1.0696708
Hong Kong,HKG,2022,4.081913
Hungary,HUN,2022,4.449911
Iceland,ISL,2022,9.499798
India,IND,2022,1.9966822
Indonesia,IDN,2022,2.6456614
Iran,IRN,2022,7.7993317
Iraq,IRQ,2022,4.024638
Ireland,IRL,2022,7.7211185
Israel,ISR,2022,6.208912
Italy,ITA,2022,5.726825
Jamaica,JAM,2022,2.2945588
Japan,JPN,2022,8.501681
Jordan,JOR,2022,2.0301995
Kazakhstan,KAZ,2022,13.979704
Kenya,KEN,2022,0.45998666
Kiribati,KIR,2022,0.5184742
Kosovo,OWID_KOS,2022,4.830646
Kuwait,KWT,2022,25.578102
Kyrgyzstan,KGZ,2022,1.4251612
Laos,LAO,2022,3.0803475
Latvia,LVA,2022,3.561689
Lebanon,LBN,2022,4.3543963
Lesotho,LSO,2022,1.3594668
Liberia,LBR,2022,0.1653753
Libya,LBY,2022,9.242238
Liechtenstein,LIE,2022,3.8097827
Lithuania,LTU,2022,4.606163
Low-income countries,,2022,0.28599972
Lower-middle-income countries,,2022,1.8575872
Luxembourg,LUX,2022,11.618432
Macao,MAC,2022,1.5127679
Madagascar,MDG,2022,0.14871116
Malawi,MWI,2022,0.10262384
Malaysia,MYS,2022,8.576508
Maldives,MDV,2022,3.2475724
Mali,MLI,2022,0.31153768
Malta,MLT,2022,3.1035979
Marshall Islands,MHL,2022,3.6353714
Mauritania,MRT,2022,0.957337
Mauritius,MUS,2022,3.2697906
Mexico,MEX,2022,4.0153365
Micronesia (country),FSM,2022,1.3243006
Moldova,MDA,2022,1.6565942
Mongolia,MNG,2022,11.150772
Montenegro,MNE,2022,3.6558185
Montserrat,MSR,2022,4.8447766
Morocco,MAR,2022,1.8263615
Mozambique,MOZ,2022,0.24274588
Myanmar,MMR,2022,0.6445672
Namibia,NAM,2022,1.5399038
Nauru,NRU,2022,4.1700416
Nepal,NPL,2022,0.5074035
Netherlands,NLD,2022,7.1372175
New Caledonia,NCL,2022,17.641167
New Zealand,NZL,2022,6.212154
Nicaragua,NIC,2022,0.79879653
Niger,NER,2022,0.116688
Nigeria,NGA,2022,0.5891771
Niue,NIU,2022,3.8729508
North America,,2022,10.5346775
North America (excl. USA),,2022,4.741475
North Korea,PRK,2022,1.9513915
North Macedonia,MKD,2022,3.6245701
Norway,NOR,2022,7.5093055
Oceania,,2022,9.85179
Oman,OMN,2022,15.730261
Pakistan,PAK,2022,0.84893465
Palau,PLW,2022,12.123921
Palestine,PSE,2022,0.6660658
Panama,PAN,2022,2.699258
Papua New Guinea,PNG,2022,0.77131313
Paraguay,PRY,2022,1.3299496
Peru,PER,2022,1.7891879
Philippines,PHL,2022,1.3014648
Poland,POL,2022,8.106886
Portugal,PRT,2022,4.050785
Qatar,QAT,2022,37.601273
Romania,ROU,2022,3.739777
Russia,RUS,2022,11.416899
